,autoencoding_loss,binarize_thresh,budget_hours,color,color_0,contractive,contractive_coef,dataset,denoise,eps,filter_size,id,k,k_0,k_1,k_2,k_3,k_4,l2,lr,marginalized,max_nb_epochs,merge_op,mode,model_name,n_steps,nb_fc_layers,nb_fc_units_0,nb_fc_units_1,nb_fc_units_2,nb_fc_units_3,nb_filters_0,nb_filters_1,nb_filters_2,nb_filters_3,nb_filters_4,nb_filters_mul,nb_hidden_units_0,nb_hidden_units_1,nb_hidden_units_2,nb_hidden_units_3,nb_hidden_units_4,nb_layers,nb_recurrent_layers,nb_recurrent_units_0,nb_recurrent_units_1,nb_recurrent_units_2,nbatch,ndf,ndfc,ngf,ngfc,niter,niter_decay,noise,nonlin,nonlin_out,normalize_func,nz,parallel,parallel_reduce_func,parallel_share,patch_index,patch_size,recurrent_model,reduce_func,scale,sparse_func,stride,use_wta_channel,use_wta_sparse,use_wta_spatial,walkback,walkback_mode,weight_sharing,wta_channel_stride,wta_sparse_perc,x_max,x_min,x_sigma,x_stride,y_max,y_min,y_sigma,y_stride,in_objectness,out_objectness,in_max,in_count,out_max,out_count
718,squared_error,0.5,2.0,,,False,,digits,,,,3200eaa0dc514088bc13a04761a27fd6,,,,,,,,,False,,,,model64,,,,,,,,,,,,,300.0,700.0,600.0,600.0,900.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.737373737374,,,,,,,,,4.39503002167,6.78331422806,0.441744904201,0.214527594533,0.600870455787,0.291624462978
719,squared_error,,2.0,,,False,,digits,,,,9dff12327a9bea52b6f3dd33bf969580,,,,,,,,,False,,,,model64,,,,,,,,,,,,,200.0,1000.0,200.0,100.0,900.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.505050505051,,,,,,,,,4.29967594147,8.59444522858,0.548527624677,0.399547838003,0.547429163889,0.29234175058
720,squared_error,,2.0,,,False,,digits,,,,1bcf330ae698dd2711ccb37a855bac00,,,,,,,,,False,,,,model64,,,,,,,,,,,,,600.0,100.0,800.0,200.0,700.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.808080808081,,,,,,,,,4.25654506683,6.7062754631,0.418093774319,0.337839308093,0.615102539471,0.325261645289
721,squared_error,,2.0,,,False,,digits,,,,228418f06b497c2b06a853a900a9364d,,,,,,,,,False,,,,model64,,,,,,,,,,,,,400.0,400.0,700.0,700.0,700.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.787878787879,,,,,,,,,4.22701215744,6.2467675209,0.551482617314,0.36866056268,0.486785851008,0.305557311965
722,squared_error,,6.0,,1.0,False,,digits,,0.0,,a9b85784c6a547b92b1d0aca2805e56d,,,,,,,,,False,9999999999.0,,random,model88,32.0,2.0,200.0,200.0,,,,,,,,,,,,,,,3.0,200.0,300.0,400.0,,,,,,,,,very_leaky_rectify,sigmoid,sigmoid,,1.0,sum,False,0.0,1.0,lstm,over,,,,,,,1.0,bengio_without_sampling,,,,width,0.0,0.5,1.0,height,0.0,0.5,1.0,7.55567026138,9.0107460022,0.814608750225,0.709517019603,0.439855924822,0.307253296413
723,squared_error,0.5,2.0,,,False,,digits,0.212121212121,,,f4a6ef879821e31b2e1f8ab30f1e0379,,,,,,,,,False,,,,model64,,,,,,,,,,,,,100.0,900.0,200.0,300.0,600.0,5.0,,,,,,,,,,,,salt_and_pepper,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.0909090909091,,,,,,,,,5.42935180664,7.08690929413,0.739687052242,0.582344666129,0.40303549185,0.242179633873
724,squared_error,,6.0,,,False,,digits,0.151515151515,,5.0,9a86aa5bbbb805e751a29a731040e221,,,,,,,,,False,,,,model55,,,,,,,512.0,512.0,32.0,256.0,256.0,1.0,,,,,,5.0,,,,,,,,,,,,salt_and_pepper,,,,,,,,,,,,,,,False,,True,1.0,bengio_without_sampling,,2.0,,,,,,,,,,3.63639163971,4.60029459,0.358649613151,0.186844654322,0.564297107374,0.326758753873
725,squared_error,,6.0,predicted,,False,,digits,,0.0,,8be81c0c188785aa2d00936564c5a175,,,,,,,,,False,9999999999.0,,random,model88,55.0,2.0,500.0,400.0,,,,,,,,,,,,,,,3.0,500.0,300.0,400.0,,,,,,,,,very_leaky_rectify,sigmoid,sigmoid,,1.0,sum,False,0.0,5.0,gru,over,,,,,,,1.0,bengio_without_sampling,,,,width,0.0,1,1.0,height,0.0,1,1.0,6.90929365158,8.60070133209,0.628008315356,0.500929493339,0.53872065735,0.347119321686
726,squared_error,,6.0,predicted,,False,,digits,,0.0,,688e86caaed8e0c4a8a9281e1a2965ca,,,,,,,,,False,9999999999.0,,random,model88,19.0,1.0,1700.0,,,,,,,,,,,,,,,,3.0,100.0,100.0,300.0,,,,,,,,,rectify,sigmoid,sigmoid,,1.0,sum,False,0.0,6.0,gru,over,,,,,,,1.0,bengio_without_sampling,,,,width,0.0,1,1.0,height,0.0,1,1.0,5.87488365173,7.46120023727,0.660772452558,0.452390862721,0.503338205564,0.221398577883
727,squared_error,,2.0,,,False,,digits,,,,2e1ab48e1baf64bea60f1da6b2806aba,,,,,,,,,False,,,,model64,,,,,,,,,,,,,300.0,800.0,400.0,400.0,500.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.434343434343,,,,,,,,,3.74434447289,5.95491981506,0.561377679331,0.340882860704,0.510192836359,0.223232066119
728,squared_error,0.5,2.0,,,False,,digits,,,,c19b8305e8de862d02209982867cf195,,,,,,,,,False,,,,model64,,,,,,,,,,,,,900.0,600.0,500.0,1000.0,1000.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.848484848485,,,,,,,,,4.54679870605,7.44343042374,0.509936450482,0.352751499934,0.574809444033,0.309887357019
